LoyaltyID,CustomerID,JoinDate,Tier,PointsEarned,PointsRedeemed,CurrentPoints,LastActivity,Visits,Status
L001,C4001,2023-01-10,Silver,1200,800,400,2025-06-10,25,Active
L002,C4002,2023-02-15,Bronze,500,200,300,2025-06-09,10,Active
L003,C4003,2023-03-20,Gold,2200,1900,300,2025-06-11,45,Active
L004,C4004,2023-04-05,Silver,900,400,500,2025-06-13,18,Active
L005,C4005,2023-05-22,Bronze,300,0,300,2025-06-14,7,Active
L006,C4006,2023-06-18,Gold,2600,2500,100,2025-06-12,50,Active
L007,C4007,2023-07-25,Silver,800,600,200,2025-06-13,20,Active
L008,C4008,2023-08-30,Bronze,450,200,250,2025-06-15,12,Active
L009,C4009,2023-09-14,Gold,1800,1700,100,2025-06-10,38,Active
L010,C4010,2023-10-01,Silver,1000,500,500,2025-06-15,22,Active
